İL,YAPILMASI GEREKEN TOPLAM ÜYE,YÖNETİM KURULU YAPMASI GEREKEN ÜYE SAYISI,YÖNETİM KURULU ÜYELERİ TARAFINDAN REFERANS OLUNAN YENİ ÜYE SAYISI,YAPILAN YENİ ÜYE SAYISI,SİLİNEN  ÜYE SAYISI,MEVCUT ÜYE,HEDEFE ULAŞMA ORANI
İZMİR,"40,768","16,950","2,410","3,334","5,858","465,474",8%
KAHRAMANMARAŞ,"16,163","6,225","2,109","2,160","1,982","188,715",13%
KARABÜK,"3,315","3,315",461,563,590,"41,194",17%
KARAMAN,"4,028","3,030",266,533,416,"39,468",13%
KARS,"3,810","3,810",512,634,418,"36,611",17%
KASTAMONU,"7,138","6,960",584,734,712,"65,300",10%
KAYSERİ,"26,662","7,470","3,934","4,484","1,956","191,997",17%
KIRIKKALE,"3,900","3,900",596,642,416,"35,806",16%
KIRKLARELİ,"4,053","4,050","1,153","1,373",465,"37,477",34%
KIRŞEHİR,"3,545","3,375","1,137","1,137",547,"33,767",32%
KİLİS,"2,430","2,430","2,307","2,443",486,"32,399",101%
KOCAELİ,"34,690","8,670","5,007","6,981","4,983","302,289",20%
KONYA,"44,006","13,080","2,721","4,383","3,512","336,427",10%
KÜTAHYA,"12,564","5,700",284,562,"1,009","73,155",4%
MALATYA,"8,308","5,910","2,689","3,022","1,637","136,310",36%
MANİSA,"24,278","9,405","2,052","2,558","1,800","143,661",11%
MARDİN,"6,000","6,000","7,530","9,983","1,210","116,031",166%
MERSİN,"13,244","8,040","2,707","3,941","2,551","202,157",30%
MUĞLA,"11,750","7,245",453,"1,142","1,386","88,672",10%
MUŞ,"3,405","3,405",670,730,271,"38,086",21%
NEVŞEHİR,"4,364","3,990",897,"1,352",633,"49,103",31%
NİĞDE,"4,162","3,405",333,360,597,"45,475",9%
ORDU,"15,799","8,490",323,542,"1,238","117,176",3%
OSMANİYE,"5,751","3,990",765,"1,165",873,"69,113",20%
RİZE,"4,920","4,920",468,"1,592","1,339","91,716",32%
SAKARYA,"21,438","7,845","1,230","1,763","2,025","177,327",8%
SAMSUN,"19,636","8,865","2,357","4,999","2,739","244,113",25%
SİİRT,"3,660","3,660","2,094","2,633",352,"43,566",72%
SİNOP,"3,930","3,930",252,308,463,"38,422",8%
SİVAS,"7,772","6,465",760,787,"1,114","109,271",10%
ŞANLIURFA,"19,112","8,340","21,032","21,201","2,290","297,704",111%
ŞIRNAK,"4,185","4,185","2,954","3,774",454,"47,636",90%
TEKİRDAĞ,"15,585","6,555","1,569","1,712","1,641","123,734",11%
TOKAT,"5,655","5,655","4,362","4,725","1,138","111,930",84%
TRABZON,"19,798","7,830",608,839,"1,611","120,176",4%
TUNCELİ,"2,895","2,895",124,152,92,"6,228",5%
UŞAK,"4,955","3,210",362,"2,090","1,065","55,711",42%
VAN,"7,245","7,245","1,684","2,961","1,005","136,365",41%
YALOVA,"3,349","3,315",436,558,443,"36,258",17%
YOZGAT,"7,168","5,985",909,982,796,"61,898",14%
ZONGULDAK,"11,995","4,635",155,634,922,"74,861",5%
